term	image_path
stage	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00006188.JPEG 
avian	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000043.JPEG 
sandy	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00007885.JPEG 
ocean	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00042301.JPEG 
beach	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00005011.JPEG 
coast	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004005.JPEG 
shore	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004405.JPEG 
skier	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000568.JPEG 
steep	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004087.JPEG 
paved	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000661.JPEG 
stand	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003401.JPEG 
scoop	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00014570.JPEG 
broth	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00024365.JPEG 
child	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003036.JPEG 
beast	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00002718.JPEG 
lined	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000521.JPEG 
piled	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003394.JPEG 
birth	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000041.JPEG 
plush	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000005.JPEG 
earth	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00002858.JPEG 
floor	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000327.JPEG 
grime	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000007.JPEG 
muddy	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003223.JPEG 
chair	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000341.JPEG 
bagel	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00016961.JPEG 
baked	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00039503.JPEG 
bread	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000309.JPEG 
stool	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000455.JPEG 
baker	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000008.JPEG 
hedge	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003420.JPEG 
beige	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000604.JPEG 
mouse	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00031211.JPEG 
black	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00029298.JPEG 
green	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00024014.JPEG 
woven	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00002471.JPEG 
linen	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000741.JPEG 
lorry	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00038360.JPEG 
truck	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00020472.JPEG 
azure	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000016.JPEG 
dozen	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000653.JPEG 
arson	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00010073.JPEG 
batch	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000557.JPEG 
sewer	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00019447.JPEG 
flame	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003486.JPEG 
water	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000017.JPEG 
group	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00002907.JPEG 
motif	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004816.JPEG 
blade	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000549.JPEG 
boxed	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000397.JPEG 
crate	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003425.JPEG 
razor	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000813.JPEG 
steel	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000582.JPEG 
perch	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00005287.JPEG 
polar	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000409.JPEG 
winch	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00002689.JPEG 
hoist	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000020.JPEG 
crowd	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000022.JPEG 
fella	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000131.JPEG 
swarm	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00006048.JPEG 
woman	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000740.JPEG 
stack	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00005453.JPEG 
mound	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000332.JPEG 
trash	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004007.JPEG 
porch	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00017214.JPEG 
bayou	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00007564.JPEG 
light	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000483.JPEG 
slope	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000100.JPEG 
hilly	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000081.JPEG 
cliff	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003321.JPEG 
ridge	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000145.JPEG 
flock	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00027559.JPEG 
flask	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004061.JPEG 
leafy	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000155.JPEG 
brick	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000914.JPEG 
crock	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000718.JPEG 
bloom	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000675.JPEG 
petal	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000618.JPEG 
trail	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004644.JPEG 
trace	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00042151.JPEG 
teddy	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000592.JPEG 
digit	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00002818.JPEG 
count	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00005623.JPEG 
cloak	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004268.JPEG 
tunic	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003385.JPEG 
khaki	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00011924.JPEG 
kiddo	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00007536.JPEG 
mango	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004614.JPEG 
mural	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000848.JPEG 
fence	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000626.JPEG 
fruit	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004347.JPEG 
knife	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00009028.JPEG 
three	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000039.JPEG 
sheet	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00002870.JPEG 
paper	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00005572.JPEG 
snout	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000228.JPEG 
shirt	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003618.JPEG 
leash	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00042240.JPEG 
comic	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00040692.JPEG 
scarf	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00023631.JPEG 
scent	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00033947.JPEG 
cloth	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00013732.JPEG 
aroma	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00028950.JPEG 
furry	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003841.JPEG 
couch	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00004597.JPEG 
front	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00003156.JPEG 
route	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000056.JPEG 
midst	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00007620.JPEG 
stair	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00040217.JPEG 
tiled	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00041157.JPEG 
torso	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000269.JPEG 
scrap	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00021297.JPEG 
slice	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000798.JPEG 
chunk	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00005377.JPEG 
biker	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00017422.JPEG 
whale	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00040408.JPEG 
depot	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000261.JPEG 
salon	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00000759.JPEG 
rocky	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00002585.JPEG 
stone	https://expdata.ling.uni-potsdam.de/wordle-newpairs/ILSVRC2012_val_00002729.JPEG 
